text,label
using embryonic stem cell medical research,real
nevada lawmaker permanently cut tax percent nevada business,fake
nearly decade half congress tammy baldwin sponsored bill three enacted law,real
say gov rick perry texas department public safety trooper standing order inquire immigration status people unless theyre arrest,real
mccain said stumped asked whether contraceptive help stop spread hiv,real
say abortion increase risk breast cancer,fake
lost job great recession last four recession combined,real
federal reserve system presided percent decline u dollar,fake
proper collective noun group baboon believe congress,fake
toledo fourth nation behind much bigger city miami la vega portland number human trafficking arrest rescue,fake
despite may heard wisconsin finance wisconsin track budget surplus year,fake
charlie crist broke quarter record fundraising u senate race florida,real
others place hand heart obama turn back flag slouch,fake
john kasich say despite visit president somewhere million million spent paid volunteer calling every name book former president first lady godknowswhoelse,real
congress secured special obamacare rule prevent healthcare cost rising,real
lieutenant governor power economic ambassador negotiate economic development,real
city percent set aside affordable housing urban renewal area calculated citywide district district,fake
crime arizona,real
say president obama promised stimulus plan unemployment would never go percent even said would percent,fake
filing lawsuit rhode island reached agreement state agency resulted voter registered first full month lawsuit entire previous twoyear reporting period,real
health care compact bill would end medicare guaranteed benefit tennessee medicare recipient shift management federal health care plan state tenncare program,fake
state gun law tend fewest gun death,real
year anybodys ever seen donald trump tax return showed didnt pay federal income tax,fake
said washington post argued failure pas start treaty year would calamity associated press saidthe administration concedes security risk immediate,real
scott walker income tax plan tax hike increase tax nearly people state,fake
say catherine cortez masto indicted brian krolicki innocent man order save harry reid political career,real
state government workforce grew tim kaine governor,fake
deployed texas national guard texasmexico border policy worked apprehension border declined percent,fake
wrote nancy pelosi said didnt think capturing osama bin laden make u safer called killing historic,real
say public option considered health care law backed u senate candidate tammy baldwin wildly unpopular,fake
payasyougo law big reason record surplus,real
new business startup lowest level year,real
university florida announced past week dropping computer science department meanwhile athletic budget current year million increase million last year,real
northwest corridor highway project cobb cherokee county expected create job statewide,fake
national football league lockout would cost atlanta million lost job revenue,fake
havent missed vote since,real
year federal government revenue year history country,real
nine poorest state red state,real
say epa regulation greenhouse gas endanger texas dairy facility swine operation corn farm beef cattle operation,fake
hasnt run corner store hasnt run state hasnt run city never run anything,fake
say mark hass raised tax billion single day,real
sharron angle want wipe social security,real
last month american stopped looking job found one,real
new jersey governor cut billion public education handing billion corporate tax break entire previous decade,real
spring parent student new york state refused let take common core test,real
worst state country moving people welfare work,fake
new poll show percent support president plan reform health care mean letting choose keeping private insurance public health insurance plan,fake
bill richardson major democratic candidate plan withdraw american troop iraq major democratic candidate support leaving american troop iraq indefinitely,real
florida casino proposed malaysian gambling conglomerate genting would nearly double size largest casino world,real
barack obama got campaign contribution fannie mae freddie mac member congress except democratic chairman committee oversees,real
del ben chafin took money away southwest virginia school votingto build politician palace,fake
blame mike mcintyre nancy pelosi second straight year costofliving increase social security beneficiary,fake
milwaukee county bus system among highest fare nation,fake
like u chamber commerce aflcio receives due foreign entity associated,real
new york time retract story hillary clinton email handling broken certain law,fake
people signed obamacare exchange already insurance,fake
past four year u senate passed nine appropriation bill,real
say bill nelson voted cut billion medicare pay obamacare,fake
since president obama took office ohio worker lost job,real
first time history weve raising debt limit also spending cut,fake
romney failed take action sanctuary city massachusetts,real
percent american cut back health care last year cost,real
newt gingrichs presidential campaign exactly challenge ronald reagan successful bid,fake
rep frank wolf voted allow terror suspect buy gun,real
senator mccain would pay part health care plan making drastic cut medicare billion worth,fake
small business district needed different permit fee able expand,real
ive outspent opponent every time ive run u senate,fake
minnesota michigan iowa already mph speed limit rural interstate see theyve able safely,real
health care law demand cancellation go,fake
sen jeff merkley voted six time debt,fake
say state budget eliminates structural deficit first time decade,real
far war gaza left palestinian dead population equivalent,fake
george allen flat tax plan would actually shrink revenue thanthe perry flat tax plan,fake
recent obama executive order could lead number investigation interpol united state potentially aimed american official,fake
opportunity scholarship act would funded directly public school budget would absolutely take money public school system transfer private religious school,real
say california flag supposed apear bear,fake
percent catholic agree vatican position abortion illegal,real
threeyearolds fouryearolds across america lose access preschool head start program state florida alone,real
already seeing baker florist photographer forced participate samesex marriage threat law case even jail,real
u senate candidate michelle nunn earned much running nonprofit laid worker,real
say supported george bush barack obama,fake
senate health care bill contain limit medical malpractice lawsuit,real
obama know tony rezko saving purchase home,fake
april democrat control congressional approval rating percent,real
saysmichael bennet want close guantanamo bay prisonand bring terrorist right colorado,fake
affordable care act making family pay doubledigit premium increase,real
connecticut take slot machine cent dollar state take table game zero,real
ryan sittons company accepted obama stimulus dollar,fake
say sen mark begich ineffective passed one bill naming building,real
since virginia lottery profit used public education commonwealth kindergarten th grade,real
president barack obama took exactly none deficit reduction commission idea one,fake
say mitt romney opposes requiring employer cover contraception would eliminate funding planned parenthood,real
independent payment advisory board created health care reform law ration care deny certain medicare treatment,fake
american ready put marijuana prohibition behind u move,real
study massachusetts institute technology harvard dartmouth concluded medicaid value beneficiary significantly lower actual cost program,real
say president barack obama opened new trade relationship nation,fake
wisconsin rank th state venture capital investment,fake
trade deal threaten india role pharmacy developing world new hiv medicine,real
since aftertax income nearly percent,real
new presidential helicopter going cost much air force one,real
environmentalist said going stop coal mining foot well guess coal state tennessee foot,fake
economy louisiana grown percent faster national gdp even since national recession,real
ammunition used orlando shooting banned geneva convention enters body spin explodes,fake
nevada recently ranked unemployment foreclosure violent crime personal bankruptcy divorce,real
say alex sink supported billion increase florida debt,fake
state pension fund staffer lost billion sink gave bonus,fake
there one candidate investigation terry mcauliffe,fake
barack obama began presidency apology tour,fake
got rid income tax today youd much revenue year ago,real
say colorado congressional candidate morgan carroll voted allow welfare recipient use tax dollar atm strip club pot dispensary,real
klein hold single town hall meeting health care general public invited ask question present view,fake
president obama running reelection senator sander trying find someone primary,real
nascar endorsed trump,real
say susan rice president national security adviser already conceded iran robust uranium enrichment capability,fake
original compromise confederate battle flag south carolina put back side statehouse public view would appearance sovereignty,real
onethird health care dollar go thing health care go insurance company,fake
party white house responsible massive tax increase middle class,fake
say internal revenue service estimated must hire agent cost billion taxpayer enforce federal health care overhaul,fake
mexico dont birth certificate dont registration card voter one national id,fake
rep adam putnam silent rush limbaugh called sonia sotomayor racist,fake
say warren buffett publicly said secretary paying higher tax rate,real
taking executive action immigration president obama stated time authority change immigration law,real
say romney bain capital drove kb toy bankruptcy loading debt,fake
killed lot innocent people state texas,fake
sixtyfour percent american support arizona immigration law,real
audit last census found people living texas counted state lost estimated billion federal fund result,fake
georgia law enforcement agency fewer percent statecertified,real
say texan driving temporary driver license lacking photo,real
thanks rick perry bad budgeting texas highway department convert modern paved state road back gravel,fake
say indiana gov mike penny advocated diverting taxpayer dollar socalled conversion therapy,real
since rightwing extremist incl antiabortion antigov killed american islamic extremist,real
mitt romney run campaign basis arguing experience business world reason vote,fake
went trillion surplus george bush inherited plus trillion debt george bush left office,real
say el paso safest city size nation,real
say gov john kasich implied portion worker compensation rebate employer directed back form campaign cash,fake
gun people united state,real
say gop u rep sean duffy wisconsin voted twice end medicare,fake
gov chris christie owes state money amenity like extra gorgonzola cheese staff trip,fake
say amanda fritz manages less percent city operation,real
say mitt romney wrong claim spending obama accelerated pace without precedent recent history actually risen slower time nearly year,real
say scott walker forcing woman undergo transvaginal probe get abortion,real
say virginia house republican sacrificing million day u fund refusing expand medicaid,real
average age child trafficked commercial sex trade industry year old,real
threw barbecue yesterday memorial weekend percent expensive last year barack obamas policy led grocery going percent,fake
average public school teacher wisconsin making year salary benefit,fake
barack obamas health care plan cost taxpayer cover new person,fake
year president obama canceled st annual national day prayer ceremony white house ruse wanting offend anyonebut september pm national day prayer muslim religion held capitol hill beside white house,fake
one recent poll said percent american people said either dont anything start health care reform,real
welcome houston diverse city america,real
north carolina study prof probably million people voted twice election,fake
washing hand covering mouth cough make huge difference reducing transmission flu,real
john kitzhaber created new job governor,real
remember landing sniper fire,fake
virginia opportunity become first state east coast explore produce oil natural gas offshore,real
president health care law raid medicare billion creates medicare rationing board group unelected bureaucrat slow growth medicare spending,fake
constitution simply authorize federal government land western state,fake
tampa bay ray price judged affordable professional sport,real
know president obama stole billion medicare switch obamacare,fake
know social science child best mom dad,fake
estimate say individual escaped high tax state taken around trillion adjusted gross income,fake
fact amnesty,real
net ohio manufacturing job lost sen rob portman call nafta proven success,fake
spend tax loophole annually trillion thats spend defense budget year medicare medicaid year,fake
say scott walker tried pas law allow pharmacist block womens access birth control,fake
neither hillary clinton donald trump plan address civil war syria,real
million people work look job give sudden statistically theyre considered employed,fake
candidate president obama declared everyone deserves access reproductive health care includes abortion vowed right would heart health care reform plan elected president,real
benefit offered congressman dont even compare benefit get state employee experienced theyre nearly good,real
say texas routinely get lot federal spending pay tax,real
say ron johnson referred lego movie insidious antibusiness conspiracy,real
say providence mayor david cicilline said city worldclass school system providence worldclass school system measured amongst last school system entire country,fake
there statistical evidence waiting period handgun purchase reduces violence whatsoever,real
fy planned parenthood performed abortion receiving million taxpayer violation hyde amendment,fake
say u senate candidate tommy thompson support plan privatizing social security,fake
balanced budget balanced budget act ultimately four consecutive balanced budget,real
say barack obama black imposter joke got standing ovation san angelo rodeo,fake
city clarkston cant decriminalize marijuana state legislator congress,real
say governor came office billion dollar call mismanagement deficit,real
population grown million almost million today,real
say rob portman voted bipartisan bill affirm climate change real human significantly contribute need addressed,fake
inequality texas steadily getting worse rich people great many poor people fewer fewer middle,real
half people would qualify medicaid expansion florida buy health care plan month federal health care exchange,real
owen v owen ri advantagerhode island,real
milwaukee police department seized nearly many firearm year much larger new york city police department,real
say hillary clinton plan would tax many small business almost percent,fake
mayor giuliani made new york city whats known sanctuary city illegal alien allowed come instructed leader city enforce law enforce immigration law,real
say american died gunfire time ebola scare dallas midterm election,real
say donald trump hillary clinton say planned parenthood terrificand keep taxpayer funding,fake
texas state rep dan branch jim pitt lieutenant house speaker joe straus helping democrat ellen cohen republican challenger event district,real
united state highest incarceration rate world,real
status illegal immigrant,real
general electric hasnt really created job country doesnt pay tax theyre making historic profit,real
slashing billion social security rep jim renacci may end forcing entire agency shut month causing senior get benefit time halting claim processing forcing new retiree disabled worker backlog,fake
nonprofit groupfeeding america lying claimsthat one five kid fighting starvation daily united state,fake
mere request putin president obama withdrew plan missile defense program based poland czech republic,fake
hillary clinton surged trade deficit china secretary state costing american million job,fake
year state legislature never voted tax increase,fake
executive director democratic party virginia people payroll,real
say mitt romney million cayman island tax,real
secretary state high approval rating,real
say hillary clinton said veteran affair scandal overexaggerated said satisfied going,fake
tax code page,fake
congressional budget office say percent unemployment till,real
jumped place since beginning year term jobfriendly,real
rick scott took family leased land drilling trying hide,real
restoring voting right nonviolent felon,fake
president obamas uncle aunt illegal alien whove allowed stay country,real
president obamas recent plan cut million waste within administration wont actually save money he going spend elsewhere,real
little evidence use red light camera new jersey reduced number severity accident intersection used,real
drilling atlantic coast,fake
say paperback edition mitt romneys book deleted line massachusetts individual mandate model country,fake
top percent pay percent tax country,real
opponent glenn hegar expressed pride legislated cut public school funding,real
half oregon university student pell grant,real
tax plan greatest gain percentagewise lower end plan,real
republican approved time larger tax break people making grand average middleclass person,real
obamacare one big fat va system,fake
year since lameduck president appointed supreme court justice,fake
iran nuclear deal give billion get nothing,fake
people want minimum wage want marriage equality want womens health care there issue actually really matter social issue matter people state know barbara would support issue know governor hasnt youve seen action he taken,real
youve seen going million surplus getting next biennium almost million deficit,real
say potential democratic opponent mary burke implemented policy jim doyle policy last term saw state lose job,fake
there actually abortion done th week pregnancy every year ohio,real
commercial vehicle wheeler cause plus percent damage highway bridge,real
massachusetts health care law added percent state budget,real
racial ethnic makeup gwinnett county sheriff office mirror community serf,real
every survey show strong satisfaction private coverage,real
potus economist stimulus cost per job,fake
experience senate budget chair cutting billion spending close deficit protecting education health care,real
israelisgave terrorist return one sergeant,real
florida statute require attorney general bill mccollum consult member florida congressional delegation filing lawsuit health care reform law,real
trump wanted turn taxpayerowned building anight hotel congressman jeff denham rca helped broker deal bragged,fake
part ride warn british already hey youre going succeed,fake
planned parenthood nothing referral service dont anything except profit killing baby selling body part aborted baby,fake
travis county highest urban county tax rate texas,real
bill mccollum voted four time raise pay total earns congressional pension worth year,real
dallas proofofinsurance ordinance resulted area tow lot mostly filling car illegal resident,fake
overwhelming majority republican democrat law enforcement leader endorsed brad schimel,real
recent polling battleground state majority people said hillary clinton untrustworthy,real
there tremendous tax pay american business go china whereas china sell u there tax,fake
say rejecting federal aid expand medicaid texas send billion federal tax paid texan state insure working poor,fake
average age first marijuana use,fake
minnesota kicking butt relative wisconsin everything employment job creation school test score educated work force host factor ranking,real
say george soros bill gate funding bioweapon lab sierra leone caused ebola outbreak,fake
say cant destroy gun purchased gun buyback program city memphis want,fake
flint sworn officer police force murder rape city flint police officer murder rate climbed rape climbed,real
say hillary clinton plan massively increase admission middle east refugee including percent increase syrian refugee coming country,real
say abortion doctor flying state performing abortion flying,fake
took office little reserve,fake
lower family income illinois today year ago illinois control house speaker michael madigan democrat,real
newark home onethird commercial multifamily development,real
ohio invested child raising school funding percent last budget,fake
black america country itd th wealthiest nation world,fake
sanctuary city philadelphia refuse cooperate federal government locating suspected terrorist custody country illegally,real
civil war ohioan served union army per caput state,real
u department homeland security warned save database foolproof mean verifying citizenship voter roll,real
northern virginia heavily trafficked place country,real
proposed revenue smart cap give floridian voice requiring percent vote citizen order impose new tax fee license fine charge assessment,fake
providence teacher contract one longest country,fake
say reason pay toll every time pas bridge mopac william cannon,fake
aig said giving million retention payment people terminated,real
health insurance cost floridian percent,fake
obama administration regulatory assault coalfired energy put thousand american work,fake
say poll show without name attached democrat one point behind gov john kasich,real
say chris christie behind poll jon corzine governor race,fake
gov rick perry used billion stimulus dollar school plug hole budget,fake
since january majority austin city council meeting extended past pm many meeting gone past midnight,fake
already health insurance job medicare medicaid va nothing plan require employer change coverage doctor,real
foreclosure tax would take effect could mean high tax bill facing foreclosure million family modified mortgage short sale lender,real
farming one fastest growing area economy,fake
percent increase domestic production would increase world supply less percent almost nothing dependence foreign oil would also virtually effect price gas pump,real
price going unemployment continuing go,real
say barack obama broke decadesold policy negotiating terrorist,fake
bill clinton presided biggest expansion american economy since world war ii,real
say house democrat voted use tax dollar abortion voting bill defunding planned parenthood,fake
austin mayoral candidate steve adler admitted law firm worked koch industry nearly decade,real
say rick perry became governor percent total labor force minimum wage job today number doubled percent,real
steve santarsiero wrote pa gun safety law,fake
say rep jim renacci trying leave town holiday without extending payroll tax cut,fake
va veteran died waiting care,fake
president obamas health care law say sell house pay percent tax,fake
half hospitalized senior suffering malnutrition severe either caused illness prevents getting better,fake
say allen west violatedfederal law scuba diving u flag,fake
unique internet protocol address wisconsin alone downloaded child pornography,real
say supreme court justice sonia sotomayor animmigrant family background,fake
recent study confirmed academic benefit government funded preschool disappear fourth grade,fake
waterboard incidentally hundred military personnel waterboard training toughen,real
say barack obama worst record president come putting america deeper debt,real
president barack obamas veto keystone xl pipeline killed job,real
point pleasant beach beach privately owned operated business jenkinsons,real
gov kasich republicandominated legislature foregone popular option closing tax loophole amount billion annually state,real
gov rick scott activates national guard anticipation federal disaster state cost including cost recall furloughed guardsman fully reimbursable fema,fake
obama sign bill forgiving student loan debt,fake
lot people got rich pay top tax rate percent,real
say republican recall challenger jonathan steitz failed pay tax,real
gas price gone since obama took office,real
say thomas jefferson helped craft constitution,fake
miamidade county spend school system million every year educating recent immigrant,real
plan incorporates idea many people room tonight democrat republican,fake
statistic show people time telecommute ride carpools mass transit bicycle walk,real
say second debate hillary clinton landslide every poll,fake
two appointment florida supreme court raul cantero kenneth bell earned reputation consistent conservative,real
since february private sector lost million job federal government grown hundred thousand worker,real
say sherrod brown voted trillion health care law add new tax ohio manufacturer,real
say twothirds group targeted irs scrutiny conservative,fake
say portland higher standard fed allowed police use force,real
hillary clinton actually differed john mccain arguing exception torture changing position,real
head fbi told congress cannot vet syrian refugee,fake
opponent child care plan,fake
amount attention paid week chris christie make coverage benghazi pale significance,fake
anyone know irresponsible senator buono shes one budget left u billion budget deficit fiscal fix mistake fiscal year billion budget deficit mistake along partner jon corzine,real
ryan planthose younger would receive kind healthcare option enjoyed member congress,fake
ripta really fullest bus transit agency size around country,real
president obama funneled billion medicare expense elderly,fake
say president barack obamas acceptance islamic order gold medal unconstitutional,fake
first round stimulus created zero job,fake
ch guevara wrote extensively superiority white european people african descent,fake
renewable energy project get u foreign oil away step step foreign entanglement get defend oil supply,fake
house republican complained didnt enough time consider constitutional ban oil drilling shoved proposal day open state water oil drilling,real
last budget committed highest level needbased financial aid state history,real
one penny california prop bag ban tax go environment,real
say passed eight measure including one prevent groping airport security check bar sanctuary city texas,real
health care law imposes largest tax increase history middle class,fake
half adult preexisting condition could affecttheir health care coverage,real
say state directly involved gay marriage lawsuit reached supreme court bound court ruling,fake
united state america twentysixth school performance world,real
first time since american manufacturer creating new job,fake
every time somebody new get ebola virus mutates,real
preparing rule package th congress gop discussion democrat,fake
elimination essentially every automobile would offset one volcano exploding,fake
sign dearborn mich advancement islamic agenda america say allah praised america kill nothing stop,fake
president obamashealth care law government takeover healthcare,fake
say denmark suicide rate twice high united state past five decade,fake
failure raise debt limit force u default debt payment,real
proposed gogebic mine northern wisconsin could extended long mile,real
income disparity united state worst since,real
health care reform law reduces deficit nearly trillion next two decade,real
health reform legislation washington passed last year made difficult hire increased cost employer,fake
say voter identification law keep poor people voting minority voting elderly voting student voting,real
marco rubio subpoenaed,real
clear thathillary clintonviolated national security law,fake
four homicide committed gun city,real
nafta signed bill clinton disaster pennsylvania,fake
give sense family struggling record four every school kid ohio qualifies subsidized lunch,real
never death caused commercial nuclear reactor united state even three mile island failed,real
uwmadison spent reserve told two year ago facing new state budget cut reserve spend,real
figure september job growth wisconsin mark largest privatesector job creation weve month september decade,real
tax cut deal giving billion millionaire billionaire,fake
cory gardner sponsoring bill ban abortion right,real
capitol built slave,real
four time said john mccainis hero know people choose selective piece,fake
africanamerican community today percent kid born born wedlock,real
supreme court nominee merrick garland voted uphold dc ban handgun,fake
say taxpayer resource used facilitate private political agenda automatic payroll deduction union due,fake
waushara county school closed state budget cut supported republican wisconsin state sen luther olsen,real
say mitt romney pay less tax guy installed car elevator,real
part effort rein protester republican wisconsin bolted window inside capitol shut,fake
planning group said meet anticipated traffic demand interstate austin round rock need dozen additional lane going north additional southbound lane,real
scott walker tax plan average wisconsin taxpayer got month corporation got million tax cut millionaire got least per year,real
illegal immigration wasnt subject anybodys mind brought announcement,fake
new jersey today fewer employee state government christie whitman left office january think thats good without layoff attrition,fake
american watch list another would captured democratic amendment intended stop suspected terrorist buying gun,fake
big soda lot moneythey make lot profit product market neighborhood suffer thing trying cure,real
say plan raise car registration would still leave virginia fee thats equal lower state,fake
every house florida solarheated water tank would eliminate consumption percent,real
obamacare many parttime job,fake
ive taken federal government,real
say federal plan expand medicaid would cost florida taxpayer billion year,fake
say marco rubio worst voting record today,real
earth warming,fake
following world war ii war crime trial convened japanese tried convicted hung war crime committed american pow among charge convicted waterboarding,real
mt hood community college average top faculty pay benefit,real
say mitch mcconnell voted two time violence woman act,real
say there proven instance hydraulic fracking polluted groundwater,real
virginia woman earnonly cent dollar earned men,real
thirtyfour percent hispanic dont health care dont health insurance,real
cosponsored rebuild america job act transportation infrastructure,fake
say gov scott walker repeal law left wisconsin one five state without equal pay law protecting woman gender discrimination paycheck,fake
phoenix already one kidnapping capital world,fake
four year balanced budget paid billion debt,fake
dog meat festival yulin china threatens global public health,fake
china south china sea buildinga military fortress like perhaps world seen,real
inflationadjusted defense spending declined percent since even discount drawdowns iraq afghanistan still declined dangerous percent,real
lindsey graham endorsed charlie crist u senate,fake
say wisconsin gov scott walker turned billion surplus billion budget deficit,fake
percent stimulus money actually spent,real
seattle time called patty murray prolific sponsor earmark patty even defended bridge nowhere,real
since inflationadjusted dollar perstudent funding florida state university system general revenue dropped,real
obama administration drilling producing domestic energy supply ever,real
milwaukee business community speak fact support train manufacturer talgo milwaukeemadison rail link killed,real
georgia civil forfeiture law among worst country worst south,real
least year called two additional brigade perhaps three,real
border patrol agent twice many,real
seven people die every day legislature ratifies pain clinic rule approved board medicine department health,real
say oregon rank rd education,real
attorney general office weve cut budget percent,real
politifact wisconsin concluded charge justice prosser prejudges matter come court true,fake
milwaukee problem include percent black male unemployment,fake
great disparity tremendous disparity capital funding perstudent basis traditional public school charter public school,real
united state student achieving number developing country come science math,fake
youve got almost twice many cop new york city entire border thats nut,real
weve heard talk curbing use fossil fuel nearly every state union address since oil embargo,real
say tax code effectively subsidizing marketing effort fast food junk food company much billion year,real
news broke veteran dying inadequate health care harry reid senate democrat take action,fake
texas installed wind power state four country,real
say never received contribution koch brother,fake
obamas secretary energy dr steven chu said publicly want u pay european level gasoline would gallon,real
mexican government send bad one,fake
say u senate candidate eric hovde problem raising tax,fake
mr renacci registered foreign trade lobbyist united state government,real
obama closed offshore tax safe haven,real
highest corporate tax rate world percent,real
scott walker wisconsin unemployment,fake
obamacare kill job across america,fake
say obama promised unemployment would never go percent,fake
individual mental illness die average year earlier without mental illness,real
since attack rail target four thousand people died thousand injury,fake
suzanne bonamici vote party partisan percent time,real
sharron angle supported scientology plan give massage prisoner,real
since top wealthiest family seen income go percent tax rate go percent,real
shaheen vote obama percent time,real
